# 【geoguessr】日本マップNMで使える知識を300個以上紹介します！

[00:00:30] かわいいチャージャーとか食べたことないから
[01:29:30] で a あとは岩手県の特徴的な景色を紹介しますそれはこちらですね
[01:29:37] 岩手山岩手さんですね 岩手山はこの八幡大師があるここのエリアですね
[01:29:46] 雫石町北森岡の北西部にあるんですけど ものすごく綺麗な形をしております
[01:29:55] これはちょっと見えない 見えないですね
[01:30:00] こういう形こういう形をしている山は東北だとここだけかな さっき紹介した岩木さんとかはめちゃくちゃ尖ってる形
[01:30:10] ですね尖ってる形の山が東北には結構多いかなと思いますので こういう形の山が見えたら岩手
[01:30:19] このエリアかなっていう感じになります でもう一個なんか変わった景色があってそれがこちらですね謎の巨大な壁
[01:30:28] がそびえているんですけどまぁこれは何かというと防波堤かと思うんですけど というのもこちらまあ都
[01:30:36] c なんですが まあ理由はなんとなく考えてもらえればわかると思うんで言いませんけど
[01:30:44] こういう謎の無限に高い壁がそびえているっていうのは 岩手県沿岸部でよく見ますね
[01:30:52] 場所で言うと都とかこのあたりまでかな このあたりでよく見ますね
[01:30:59] 無限高い壁 がありますというのが岩手県の景色で岩手県市外極端全域で019
[01:31:10] です ということで017 018 019って感じになってます
[01:31:18] はいまあ岩手県は今のぐらいだと思います
[01:31:25] じゃあ次は宮城県に行きます
[01:31:31] 宮城県は まあ宮城県も標識からいきます
[01:31:36] 宮城県の標識は この青い文字で宮城県公安委員会って書いてあるんですね
[01:31:44] 先ほど青森県にもありましたこういう公安委員会書いてある 県というのは結構限られてて宮城県にあります
[01:31:52] 青い文字です っていうのが特徴でしてまずは
[01:31:59] で宮城県のダイヤ 先ほど青森県でも出てきましたが宮城県のダイヤは
[01:32:09] この形ですね うーん積みにくい
[01:32:13] ここ上のこことここに切れ目があって こういう形のやつ
[01:32:19] これ半時計回りにこうたどっていけそうってことで半時計回りのダイヤと覚えて いるんですが
[01:32:27] こういう半時計回りのこのダイヤこの形があるのは とりあえず宮城県と
[01:32:34] 宮城県
[01:32:38] 京都府兵庫県岡山県ですかね 石川県
[01:32:45] 間違うか まあとりあえず宮城県はこの形のダイヤです
[01:32:50] 景色が 結構他のエリアとは違っているのでわかりやすいかと思います
[01:32:58] あであと東北に限っ宮城県に限った話じゃないですが屋根ですね 屋根が
[01:33:05] まあいい結構雪が降りそうかなという河原屋根があんまりないですね 宮城県は河原である方だと思いますが
[01:33:13] こんな感じで全然河原がないですね雪が降っちゃう こっちはありますけど
[01:33:20] あんまりないですね東北北の方に行くと例えば青森県の 住宅街をチェックしてみますと
[01:33:29] 青森県の住宅街まで行くともう めちゃくちゃ雪降りそうだなっていう雰囲気を感じてもらえるかと思います
[01:33:36] めちゃくちゃ屋根急ですし 全然河原屋根がないですねここまで来ると
[01:33:43] さらに雪国の特徴としてはこういうやつ なんて言うんでしたっけこういうやつ
[01:33:51] というタンク とかがあったり後はまあ雪かけグッズとかが置いてあったりする場合もありますし
[01:33:58] あこの家は 二重玄関二重玄関ですねはい
[01:34:05] まあこういうのはまあ青森県北海道とか でよく見るますけど南東北
[01:34:12] 宮城県とか福島県とかでは見ないですかね なので東北の中でさらに絞りたい場合は屋根がどういう感じになっているか
[01:34:23] 雪対策してそうかみたいな 辺りを見ると
[01:34:28] かなり絞ることができます
[01:34:34] というのがまぁちょっと余談ですが屋根です
[01:34:40] で宮城県のダイヤは紹介したので じゃ仙台市
[01:34:49] 仙台市いきます まず仙台市のマンホールから紹介します今回初めてマンホール
[01:34:55] 初めてじゃないなぁ マンホールもあの覚えるといい年は
[01:35:01] 紹介していきますが仙台市のマンホールはこんな感じですね こういう縦線3本
[01:35:09] があって周りこういう丸で囲まれているって感じ これが仙台市の
[01:35:16] マンホールですでこれ縦線3本っていうのが大事で他に横線3本の ワンホールがあるんですけれども
[01:35:25] 縦線が大事ですね しかも太さとしては細いですねかなり
[01:35:32] 太い横線のマンホールもありますので そのあたりで
[01:35:38] 見分けるといいかと思いますさらに仙台市にはこういう雪カバレッジがあります あんまり北の方に行くと
[01:35:47] 雪の時期に撮影することは ほぼほぼないんですけど
[01:35:53] 仙台はこういう雪カバレッジが
[01:35:58] これもそうですね 2022と2025
[01:36:04] なんですがあります
[01:36:07] まあこれ東北で雪カバレッジって結構珍しいので
[01:36:13] しかも街中っていう時点でなんか仙台っぽいなっていう感じがしますね
[01:36:19] さらにもう1個特徴仙台の特徴があって仙台の電柱ですね 電柱というか
[01:36:25] 電柱にこういうのがついています 街灯番号がついててこの場合若林区っていうか
[01:36:33] 宮城仙台の若林区なんですが こういうプレートが仙台の電柱に
[01:36:40] 大量についています
[01:36:43] こっちもついてますね こういうのがついているのは東北電力の中だと仙台市ぐらいしか
[01:36:49] ないかな っていう感じなので
[01:36:52] ながこの東北電力のプレートと新潟県の ntt の横プレートとは別にこういうプレートが
[01:37:00] ついているなっていう時点で仙台に行きたくなりますね
[01:37:07] というのが仙台の電柱です
[01:37:13] さあということで宮城県の景色紹介します 宮城県の決心台はカーブミラーもちょっと特殊
[01:37:21] なんですね なんですね
[01:37:25] あみやいけの景色はこれさっき紹介したやつですね 雪雪景色があるのと
[01:37:31] あとはまあ沿岸部なんですが
[01:37:35] まあ ご覧の通りなぜかめちゃくちゃ平なのに
[01:37:40] 家も畑もないっていう景色荒れ地が広がっている景色はやっぱ宮城県 福島県の沿岸部でよくあります
[01:37:49] これ2024ですがそれでもまだ何か 何にもないんですよねここまで
[01:37:56] っていうのがまあ沿岸部で特に古い時期に行くとまあ より具合がひどくなるんですけれども
[01:38:05] こういうのは まあこうの
[01:38:10] 一体ですかね 特にこのあたり
[01:38:14] な気がしますというのが以上宮城県です 市街局版が全域022ですね
[01:38:30] どうぞ続いて山形県に行きます山形県は標識からいきます 山形県の標識は
[01:38:38] こういうカラフルなテープが巻いてあります先ほど 青森県でも似た標識があったかと思うんですけど青森県は1本だけです
[01:38:46] 巻いてあっても では森県公安委員会って書いていることがよくある
[01:38:52] 山形県では こういうカラフルなテープが何本も巻いてあります
[01:38:57] これ3本 キスってなんでしょ
[01:39:00] 3本ですけど こちらも3本カラフルもっと巻いてあることもあります
[01:39:06] でさらに標識の裏には こういうふうなシールが貼ってあって漢字一文字と
[01:39:13] なんか数字が書いてある何かって言うとおそらくこの標識をのある 管理の
[01:39:22] 自治体名の1文字目ですねこれ遊ぶって書いてるんですけどどういうことかというと 湯座町ですねここ
[01:39:29] なのでこの市町村の1文字目が ここに書いてあるかと思います
[01:39:36] あんまり見えないですけど こういうのが書いてあったら山形県の中でもさらに市町村レベルで絞ることができるので
[01:39:44] 知っておくといいかと思います そして山形県の景色ですね同じく湯座町から紹介するんですが
[01:39:53] こういう山 こういう山
[01:39:57] ちょっとなんか特徴あるのか
[01:40:00] と言われるとあれかもしれないですけど こういう山ですね
[01:40:04] いい感じの山があってかつ平 で
[01:40:11] こっち側に山が見えないですね まあ風力発電も見えるんですが
[01:40:16] 西に山が見えないっていう時点で 日本海側っぽいなっていう感じなんですが
[01:40:21] 日本海側でこういう山が見えるエリアっていうのは 湯沢 このエリアの長海山周辺ですね
[01:40:28] さらにこういう棚みたいなやつがあります これが多分
[01:40:32] 風避けかなんかと思うんですけど日本海側 北海道にもあるんですが
[01:40:39] 青森県から富山県とかあたりまでの日本海側でよく見ますね こういう柵
[01:40:49] こういうのも日本海側っぽいなっていう特徴ですね というのが山形県のまず最初の景色でもう一つ
[01:40:57] まあこれちょっとね 特殊な景色なんですけれどもそれが
[01:41:02] こちらです山形県の 山形市の南上野山市ってあるんですが
[01:41:07] 上野山市には突然 巨大なタワーが出てきます
[01:41:13] 周りはですねめちゃくちゃ まあ
[01:41:17] のどかな田んぼが広がっているんですけれども急に 巨大なタワーがそびえております
[01:41:24] これ何かって言うと
[01:41:28] これですねスカイタワー41っていうものがあって
[01:41:33] これです なぜか
[01:41:36] 急に田んぼに現れる 超高層マンション
[01:41:42] スカイタワー41が上野山市にあります
[01:41:49] ということでこれめちゃくちゃなんか マイナーなんですが
[01:41:55] こういう建物があるということを覚えてもらえればと思います
[01:42:00] 以上が山形県の景色で市街局版は023です 日本一安いタワーマン
[01:42:09] だそうでございます まあこういうなんか変わった景色があるっていうのを知っておくとかなり面白いん
[01:42:16] じゃないかなと思います では続いて福島県に行きます
[01:42:29] 福島県は
[01:42:33] ボラードを置きましょうか 福島県のボラードですいやそれは嘘ですけど
[01:42:41] 福島県はボラードに限らず標識とかいろんな部分でこういう茶色っぽい 色のものをよく使っていますこれ東北の
[01:42:51] さっき紹介した 東北のでこういう一般的な
[01:42:55] ボラード を
[01:42:58] 茶色くしたものですね これはまあ福島県以外でも見るんですけど特に多いかなっていう感じがします
[01:43:08] ボラードとか標識とかいろいろ茶色です それが福島県の
[01:43:14] まあよくある景色で
[01:43:18] 8 標識いきます
[01:43:23] 福島県の標識はこれもめちゃくちゃ特徴付きなので覚えてほしいですね 剣道番号
[01:43:31] が剣道何号を書いてあるんですけどもここに何か 2枚目の六角形の猫の閉鎖があってていろいろ書いてある
[01:43:40] これは 全国でも福島県にしかない標識で
[01:43:46] 6角形が2枚付いているっていうのが福島県の特徴です これも後ろ側から見てもこれ明らかに福島県だなってなります
[01:43:54] 雪だるま型のやつですね
[01:43:58] これはもう全国で福島県にしか存在しません と思いますので
[01:44:03] これ見たら福島県遠くからでもわかります におきましょう
[01:44:11] して福島県の止まれいきます でここで初めて止まれが出てきますね
[01:44:18] この止まれの形もめちゃくちゃ地域性があって 頭が切れているのが気になるんですが
[01:44:25] これよりは こっちの方が見やすいのでこっちで見ます
[01:44:31] とは 普通かな普通だったかな
[01:44:35] でこの間の部分がこれ右にくにゃってなってます右に 中心より右に間の縦棒があって
[01:44:45] こう丸いですね ででも
[01:44:49] こういう感じですここが出っ張ってる感じ ぐって出っ張ってこう
[01:44:55] っていうのが福島県の止まれなんですがそんなことを言われても っていうふうに思うかと思いますので
[01:45:03] 比較として普通の止まれを出しておきたいと思います
[01:45:09] まず普通の止まれの特徴がわからないと 見分けるのが難しいかと思いますので
[01:45:17] 普通の止まれを見つけたいんですが
[01:45:27] うーん微妙 普通の止まれはこんな形です
[01:45:34] まがー なんだろうとがっててとがってくるっていう感じでこの中心部から混ぜて
[01:45:41] ますね線が 中心部から出てるでれも
[01:45:47] こういう中心から縦線が伸びてて こういう形
[01:45:52] なんか説明しづらいんですけどこれがまあ全国一般的な止まれなんですけど 先ほど紹介した福島県の止まれは
[01:46:02] 間の縦棒が中心より右側にあって かつこの円の部分が丸くなっている
[01:46:09] でれは 縦棒が左寄りにあって
[01:46:15] 右肩が出っ張ってる っていう感じ
[01:46:20] ですねまぁこれと同じか似てる止まれが愛知県にもあります 愛知県か
[01:46:27] えっと福島県かって感じになりますねこの止まれだと おそらく
[01:46:32] ま止まれはね最初自分もよくわからなかったので 特徴的なものから特に覚えやすいものから覚えていきましたが
[01:46:41] 福島県は ちょっとわかりにくいかもしれないですね
[01:46:47] こちらが福島県の止まれです
[01:46:51] で福島県の マンホール行きます
[01:46:56] 郡山市です郡山市のマンホールはこれですね3分割されています こういうマンホールはモザイク越しでもわかりやすいので
[01:47:06] めちゃくちゃ覚えやすい自分が結構序盤に覚えましたこのままの立て棒の位置が 微妙に違う
[01:47:14] ですねけどまぁほぼほぼ一緒なんでね ほぼほぼ一緒なんで難しいんでとりあえずまぁ今回はまぁ一緒とほぼほぼ一緒ということに
[01:47:25] しておきます
[01:47:28] こういう3分割マンホールは郡山市でのマンホールです これ結構覚えやすいですね
[01:47:38] で福島県の 左下がとんがっているで覚えている
[01:47:44] なるほど まぁそうねまぁと例の形がやっぱ特徴があるところが大体なんで難しいんですけど
[01:47:55] えーと福島県の景色いきますこの合図若松市の方なんですが 福島県の合図若松市はこの北東の方に山があって
[01:48:06] 尖った山こういう尖った山がある 相地の泊まりは普通のと混在している印象がある
[01:48:10] マップ作成してて思ったけど 相地はかなり普通の泊まりがよくありますよね
[01:48:18] 福島県合図若松の方なんですがこういう尖ってる山がありますこれでは どのあたりの山かというとこのあたりで湾台山とかかな
[01:48:29] かなぁ言ってますけど まあこのあたりの山あたたら山とかも結構あるんですけど
[01:48:35] このあたりはなんかこういう感じの山なんていうか特徴って言うと難しいけど でも他の山とはなんか違った雰囲気
[01:48:44] 明らかにここだけなんか違う山があるのっていう感じを感じ取ってもらえるといい かな
[01:48:49] 自分はあんまり当てられたことはないんですが こういう山があるよっていうのが福島県のこの合図の方面ですね
[01:48:58] このた合図っていうのが無限についてますけど市町村で同じく合図の特徴として さらにも合図の山奥の方に行くんですが
[01:49:09] 建築が特徴があってこういうも赤い屋根赤いこういう感じの素材の屋根 こういう横線がめちゃくちゃ無限に入っている
[01:49:20] 無限じゃないけど なんかこういう屋根赤い屋根がいっぱいありますね
[01:49:29] こういう屋根があります これもちょっとねー当てるの難しかったりするんですけど
[01:49:36] 東北北の方行くとだいたいこういう素材の屋根なので 難しかったりするんですがこういう屋根があります
[01:49:45] これが8 合図のこっちのエリア
[01:49:52] です
[01:49:55] ん で福島県の
[01:49:58] まあこれは
[01:50:00] 関係さんかオグマさんの選挙ポスター見たら合図に置くようにしてる
[01:50:05] だそうでございます
[01:50:07] これはもうあの最悪最悪
[01:50:12] どうしようもない時だけ使ってください
[01:50:16] 東北っていうのがわかった上でどうしようもない時
[01:50:20] 福島県のガードレールに限った話じゃないんですが
[01:50:26] ガードレールに黄色いテープが巻いてあることがよくあります全国的に
[01:50:30] でもある程度出現率が高い県っていうのが決まってて
[01:50:35] 東北の中で一番出現率が高いのが福島県だと思ってます自分は
[01:50:40] こんにちは
[01:50:42] 解説とってもありがたいです
[01:50:44] 東北ってわかるけどガードレールしかないっていう場合には
[01:50:49] 黄色テープが巻いてあったらとりあえず福島に行ってみるっていうのは一つの手だと思います
[01:50:54] 自分も東北で黄色テープあったらだいたい福島に行きますが
[01:50:59] 100%じゃないですのでどうしようもない時限定なんですが
[01:51:05] 使えたりします
[01:51:07] カープさんこんにちはありがとうございます
[01:51:09] 初めて知った
[01:51:11] 初めて知った
[01:51:13] 体感6割ぐらいは当たります福島におけば
[01:51:22] 逆に言うとこの多分こっちの北三県とかに行くともうないんですよほぼほぼ
[01:51:29] 福島県はよく見ますこの黄色テープ
[01:51:33] なので本当にどうしようもない時だけ限定なんですが
[01:51:37] これを使うと良かったり良くなかったり
[01:51:41] 結果は保証できませんが
[01:51:44] って感じですね
[01:51:46] 最後ですね初めてなんですが車紹介しますカーメター紹介します
[01:51:52] 福島県の沿岸部かな
[01:51:55] 相馬とかこっちのエリア宮城もかな
[01:51:58] こういうエリアでは変わった車があります
[01:52:02] こういうなんか車なんですけど
[01:52:05] ボックス箱が見えててクリスマスとみたいな箱が見えてて
[01:52:11] なんか白い上が見えててここにアンテナがある
[01:52:16] っていうのが福島県沿岸部の車2017年のカバレッジかな
[01:52:23] まあでもこれは今まで普通のマッププレイして出てきたことないですね
[01:52:28] 東北マップを遊んでると出てくることよくあるんですけど
[01:52:33] 普通のマップではほぼほぼ出てこないかと思いますが
[01:52:37] こういう車があるというのは知っておくといいかもしれないですね
[01:52:43] というのが以上が福島県です
[01:52:46] 福島県市外局番は全域で024なんですけど
[01:52:51] 024だけだとちょっと使いづらくて広いんでこれだけ
[01:52:57] 主要な都市のさらにそこから4桁目も紹介しておくと
[01:53:01] 福島市の周辺が024-5
[01:53:04] 1回だけ60キロで見たことある
[01:53:07] 氷山周辺が024-9ですね
[01:53:10] 4桁目が5なら福島
[01:53:13] 9なら氷山に置くといいと思います
[01:53:18] 60系プラスはいろんなマップ変なのが入ってますもんね
[01:53:23] まあでも基本的にはあれはほとんど見ないと思っていいかと思います
[01:53:27] 以上が福島県でした
[01:53:31] 新潟県でいいかな次
[01:53:33] 被災地を走る車だけど細かい分布がわからん
[01:53:37] そうですねもうだいたい上書きされてると思うんで
[01:53:41] ほとんど残ってないんじゃないかなと思いますね
[01:53:46] はいでは新潟県行きます標識から行きます
[01:53:50] 新潟県の標識は
[01:53:55] これですね標識の裏特徴があって
[01:53:59] こういうシールが貼ってあります
[01:54:02] ここに漢字1文字があって数字があるっていうので
[01:54:05] さっきの山形県にちょっと似てるんですけどさっきより大きいですね
[01:54:09] で山形県と同じく
[01:54:12] ここのカンディの部分がその自治体名になってます
[01:54:15] この場合だと初っていう字書いてあるんですが
[01:54:18] 何かというと柴田市の初ですね
[01:54:21] 新って書いちゃうと新潟市と被っちゃうので
[01:54:24] 多分初になってるんだと思うんですが
[01:54:27] 自治体の1文字目がここに書いてあるっていう感じですね
[01:54:31] おそらく山形県と同じように使うことができますが
[01:54:36] ほとんど見ることができないですね
[01:54:39] でもう一個ですね新潟県の泊まれを紹介しておきます
[01:54:44] これ新潟県固有の泊まれです
[01:54:48] こっちの方がいいか
[01:54:52] 新潟県の固有の泊まれですね
[01:54:55] 泊まれパッと見普通じゃんって思うかもしれないですが
[01:54:59] まず戸の部分ですね
[01:55:01] 戸の部分がここ横一般的には横なんですけど
[01:55:05] 右上がりになってます
[01:55:09] 戸が右上がりになってます
[01:55:12] で間はここ丸くなってます
[01:55:16] 普通は角で角って折れ曲がるんですけど
[01:55:21] 丸くなってます
[01:55:23] でれはこことここの隙間が空いていることはないんですけど
[01:55:28] 繋がってます普通は
[01:55:30] ただ新潟県の泊まれは隙間が空いてこうなってますね
[01:55:37] 一番特徴的なのがこの泊まれの右上がりの部分なんですけど
[01:55:43] これ右上がりの時点で新潟県しかないですね
[01:55:48] これ覚え方としては標識の泊まれ
[01:55:51] これ実は新潟県の泊まれです
[01:55:54] 実は全国この同じのを使っているかと思うんですけど
[01:55:59] 泊まれの標識の泊まれのこの書き方は新潟県の泊まれです
[01:56:04] で覚えてください
[01:56:05] 右上がりなので
[01:56:08] これこれ新潟県の泊まれだと覚えてください
[01:56:13] でこれに似た泊まれは実は関西でよく見るんですけど
[01:56:18] 関西の泊まれはこの右上がりじゃないです
[01:56:22] ここは横向きに向いています
[01:56:25] なのでそのあたりで見分けましょうって感じですね
[01:56:29] 景色結構違うのでそのあたりでわかりやすいかと思いますが
[01:56:33] 新潟県の泊まれはこの形覚えてください
[01:56:41] 新潟県のダイヤいきます
[01:56:46] 新潟県のダイヤはこういう時計回りにこうこうこうこうって
[01:56:52] 4つに分割されています
[01:56:54] 上の部分がこうなってて
[01:56:57] 次短いのが入って長いのが入って短いのが入るっていう
[01:57:01] こういう状態挟まれている状態になっています
[01:57:04] 長いのに短いのが挟まれている
[01:57:08] これが新潟県のダイヤで
[01:57:11] 他の県にもありますがとりあえず新潟県ですね
[01:57:22] 次スノーポールいきます
[01:57:25] 新潟県固有のスノーポールがあります
[01:57:27] それがこちらですね
[01:57:29] 赤黄色赤黄色っていう
[01:57:31] この配色が全国でも新潟県にしかないです
[01:57:37] 新潟県のこのボラードも東北のボラードとはちょっと違ってて
[01:57:41] 黄色線はあるんですけど
[01:57:42] ここの反射板の部分が結構大きい形になっている
[01:57:46] っていうのが新潟っぽいなっていうスノーポールですね
[01:57:51] 何よりこの配色新潟にしかないので
[01:57:55] これは覚えてほしいですね
[01:58:02] じゃあ景色いきますか
[01:58:04] 新潟県の景色
[01:58:06] さっき大塩市でもあったんですけれども
[01:58:10] これですこれは絶対に覚えてください
[01:58:15] 道が真っ赤ですね
[01:58:17] ブラジルと同じぐらい道が赤い
[01:58:20] なんでかっていうとこれですね
[01:58:22] 流節パイプがあるんですけど
[01:58:23] これで雪を溶かすんですね
[01:58:27] 冬の時期になる
[01:58:28] そのパイプのやつで道が錆びちゃってまして
[01:58:34] もうこんな感じの色になってます
[01:58:37] でこれ流節パイプ自体は
[01:58:39] 日本海側どこにでもあるんですけど
[01:58:42] 特に新潟県の長岡市の周辺では特に赤いですね
[01:58:49] この色
[01:58:50] この色合いは特に長岡市の周辺で多い印象があります
[01:58:55] 他のエリアは流節パイプあっても
[01:58:57] ここまで赤くはないですね
[01:59:01] なのでこのこういう色を見たら
[01:59:04] 長岡市をまず思い浮かべるといいかなって思います
[01:59:10] 続いては新潟市の畑が広がっている部分ですが
[01:59:17] 新潟なんでお米をめちゃくちゃ大量に
[01:59:20] 無限お米畑なんですけれども
[01:59:22] お米田んぼなんですけど
[01:59:25] これですね
[01:59:27] それプラス山特徴的で
[01:59:31] 新潟東には結構大体山が見えるんですけど
[01:59:34] 西側って山が見えないことが多いんですが
[01:59:38] こんな感じに急に山が出て
[01:59:42] 急に山がなくなるっていうのがあります
[01:59:45] これは何が見えてるかっていうと
[01:59:47] ここですね八彦の山この辺りが見えてます
[01:59:53] 急に山があってなくなってみたいなのがあるのは
[01:59:57] このエリアが見えてますので
[02:00:00] それを使えば結構角度から寄せることができます でもう1個新潟県でよく見るのがこれですねガードレールの端
[02:00:09] ガードレールの端に赤白赤黄色赤黄色の シールがついてますこれ新潟県でよく見ますが中国地方がメインです実は
[02:00:20] 中国地方でよく見るんですけど中国地方プラス 新潟県であるので要注意ですね
[02:00:29] これ見たら基本的には中国地方に置いた方がいいんですが それ以外でも新潟県にも存在しますという感じですね
[02:00:39] 続いて佐渡 佐渡の景色は
[02:00:42] まあこちらも 田んぼが広がっていて平なんですが
[02:00:48] 北 北に山がこう連なっている
[02:00:52] 南を見てもこっちも同じような山が連なっている こういう角度
[02:00:58] こういう角度に山が連なっててこういう田んぼが広がっているっていうのは佐渡 ぽい景色ですね
[02:01:06] 佐渡ぐらいしかないかなって思います この山の角度とかを覚えるといいかなと思います
[02:01:15] そして新潟県ラストはこの十日町 とか上越とかあるんですけどその間のこの山のエリアですね
[02:01:24] このエリアは無限ススキ 道ですね
[02:01:29] もうススキが至るところに生えていてでも木はこういう針葉樹が多くて 急な斜面みたいな感じ
[02:01:39] ススキが多いのは一般的には西九州とかが結構多かったりするんですけど このあたり山形県とか新潟県とかでも結構ススキは見て
[02:01:50] まあこのあたりの山の典型的な景色がこういう感じですね まあ結構針葉樹多くて寒そうかなっていう風になりつつ
[02:02:00] このガードパイプこういうガードレールじゃなくてこういう線で繋がってる やつがあるんですけど
[02:02:08] こういうのも雪降る地域でよく見ますね北海道を含めて
[02:02:13] でこういうのがあってススキが無限に広がっているっていうのが結構この 十日町から上越のこの山脈エリア
[02:02:21] 山エリアよく見ますね というのが新潟県の景色でした
[02:02:28] 撮影時期の問題かな まあ場合いろいろありますよねおそらく
[02:02:34] ススキがなんかめっちゃ多いんですよこのあたりを ということで新潟県市街局版が025です
[02:02:43] で4桁目なんですけど新潟県の4桁目はめちゃくちゃ覚えにくいんですよね なのでまぁちょっと省略しようかな
[02:02:53] 結構いろいろもうぐちゃぐちゃですね4桁目は なのでちょっと省略します
[02:03:00] さあ以上で東北電力は終わりで まあ次関東行きましょうかね
[02:03:13] さあ
[02:03:16] もう何時間かかるんでしょうね4時間ぐらいかかりますかね で福して北海道紹介し始めたのが
[02:03:26] 海道やり始めたのが1時間 ぐらい前か
[02:03:31] 終わりますかこれ 何とかやっていきますけれど
[02:03:37] 群馬県行きます群馬県のダイヤから紹介します群馬県のダイヤはこれですね 4つに分かれていますこうこうこうこうで時計回り上から時計回りに4つに
[02:03:51] 分割されています さっきの新潟県に似ているというふうに思われるかもしれませんが新潟県は
[02:03:57] ここが長い短い長い短いでしたが 群馬県は全部同じ長さで4つあります
[02:04:05] これと同じダイヤを使っているのが千葉県ですね あと山梨県かな岐阜県とかなんですけど
[02:04:14] まあちょっとなんだろうね見分けるのが難しかったりしますけど 9
[02:04:19] こういうのがありますね 9
[02:04:25] 9時間ペース 今何件紹介1234
[02:04:30] 本日は8件紹介して1時間なので まあ6時間ですねえっ嘘でしょみかん星君こんにちは
[02:04:42] まあね北海道とかめちゃくちゃいっぱい紹介したから東北いろいろ紹介したからね だと思ってほしいんだけど大丈夫かな
[02:04:51] まあこれ群馬県のダイヤです まあ1件10分もかかってないから特にまあこっちの方西の方行くとんどん紹介
[02:05:01] するの減ってくるので北海道とかはいっぱい紹介したけど 日が暮れちゃう日が暮れちゃいそうですねこれ
[02:05:11] まあやっていきますよせっかくここまでねやっておりますので まあこれ群馬県のダイヤ
[02:05:17] で群馬県の特徴的な景色3つ紹介しますミス口した 最初の音1時間というか最初のちょっとね
[02:05:27] 電柱紹介もあったからあれなんですけど
[02:05:32] ん
[02:05:40] ということで群馬県の景色いきますまずは この伊勢崎市とかがあるあたりからの北んですね
[02:05:48] こういう細くたしまくって9時間コースにしよう やばいそれは終わらんのですけど
[02:05:55] 寝る暇がない こういう
[02:05:59] 山尖った山雪山雪が見えることもありますけど こういう尖った山がいっぱい見えるよ
[02:06:06] まあ関東でこういう山が見えるのって基本的には群馬県が山梨県なんですけど まあ群馬県は南には山が見えないですね
[02:06:15] 山梨県は南にも山が見えますけど 群馬県はこういう尖った山があるっていう感じ
[02:06:21] まだこれ何が見えているかっていうと赤木山ですね こっちの赤木山の方が見えています
[02:06:29] っていうのがまずこれ赤木山でこの さらに西に行くとこれさっきとは別の山が見えています
[02:06:37] こっちも尖ってなんか でこぼこしている山なんですけども
[02:06:43] この山はこっちですね春名山 春名山の方が見えています
[02:06:49] 群馬県でという山が見えるのはこの赤木か春名 どっちかですね
[02:06:55] まあこういう尖った山 でこぼこした山があるのは関東の中でもこのあたりだけですね
[02:07:05] でこの山を越えしてさらに北に行くとどういう景色が広がっているかっていうと こういう感じですね
[02:07:11] これはちょっと当てるのが難しかったりするんですけれども
[02:07:17] まあ山高い山が結構あって 赤木山と山梨北部の山の見分け方がいつもわからない
[02:07:23] そうですねあのあたりちょっと難しいですね
[02:07:27] 自分もねめちゃくちゃ外してますので そしてここもね前大会で自分めちゃくちゃ山梨に置きましたけども
[02:07:34] はい まあこれが群馬県の
[02:07:39] 山合いのさらに北の景色ですね 特徴としては農業が
[02:07:45] こういう植物キャベツとかかな
[02:07:49] トウモロコシとかかな こういう植物があってます畑じゃなくて
[02:07:54] 果樹園でもなくてこういう植物ですねなんか鉱山高いところで育ててそうな植物 食べ物っていうのを育てるのがこの群馬北エリア
[02:08:04] ですね まあちょっとね山梨っぽさもあったりするんですけど山梨は結構果樹園とかが多いかな
[02:08:12] って感じがしますのでそのあたりで見分けるといいかもしれない でちょっと標識紹介するんですけども群馬県の標識裏はアールリブですね
[02:08:21] さっき紹介した秋田県と同じくアールリブ
[02:08:26] です まあ関東は
[02:08:30] リブ付きのこういうリブがついた標識がいっぱいあります
[02:08:36] ので まああんまり使えないけどねおそらく
[02:08:41] それに100すべての標識についているかというとそういうわけじゃないのであんまり 使えないですがこういうのがあります
[02:08:48] 以上が群馬県で市街局版は 全域で027ですね
[02:09:00] では栃木県に行きます
[02:09:04] 栃木県は 標識からいきましょうか
[02:09:12] 栃木県の標識今度はですね エフリブですね岩手県で見たのと同じく
[02:09:20] ここにこのこの線の部分に切っ このへこみがある
[02:09:26] へこみがある 栃木県の
[02:09:30] じゃなくエフリブなんですがその中でも特にですねこの シールが貼ってある赤いシール
[02:09:36] 前カラーバリエーションあると思いますが シールが貼ってあるのは栃木県関東だと栃木県だった
[02:09:43] さっき見た秋田県みたいに こういうシールが貼っているんですが秋田県は r リブでした
[02:09:50] エフリブでこういうのがあったら栃木県 って感じですね
[02:09:56] というのが栃木県の標識の特徴で
[02:10:00] えーっとダイヤ行きます 地域のダイヤは新潟県と同じタイプですね
[02:10:08] 長い短い長い短いの4分割で時計回りに配置されている 新潟県と同じダイヤですがこれ関東の他の県にもあります
[02:10:20] のでまぁこれだけだとまあ群馬じゃないなっていうのが言えるだけですね これだけで関東で剣当てることはできないですね
[02:10:34] で何だろうこれ 何これ
[02:10:39] これは
[02:10:42] 使わないですね
[02:10:46] マンホール行きます 宇都宮市のマンホールは
[02:10:52] これですねこの楕円が2個縦並びでミヤの形してますね ミヤの形をしているマンホール縦並びの楕円2個
[02:11:04] のマンホールが宇都宮市のマンホールです 周りにもなんかこういうイチョウみたいなのが並んでいるとか
